2016-11-06 02:39:04,670 [main] INFO  marytts.Realised acoustparams extractor Power-on self test complete.
2016-11-06 02:39:04,670 [main] INFO  marytts.Realised durations extractor Module started (AUDIO->REALISED_DURATIONS, locale null).
2016-11-06 02:39:04,670 [main] INFO  marytts.Realised durations extractor Starting power-on self test.
2016-11-06 02:39:04,670 [main] INFO  marytts.Realised durations extractor Power-on self test complete.
2016-11-06 02:39:04,671 [main] INFO  marytts.Praat TextGrid generator Module started (REALISED_ACOUSTPARAMS->PRAAT_TEXTGRID, locale null).
2016-11-06 02:39:04,671 [main] INFO  marytts.Praat TextGrid generator Starting power-on self test.
2016-11-06 02:39:04,671 [main] INFO  marytts.Praat TextGrid generator Power-on self test complete.
2016-11-06 02:39:04,672 [main] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale te).
2016-11-06 02:39:04,725 [main] INFO  marytts.JTokeniser Starting power-on self test.
2016-11-06 02:39:04,729 [main] INFO  marytts.JTokeniser Power-on self test complete.
2016-11-06 02:39:04,730 [main] INFO  marytts.DummyTokens2Words Module started (TOKENS->WORDS, locale null).
2016-11-06 02:39:04,730 [main] INFO  marytts.DummyTokens2Words Starting power-on self test.
2016-11-06 02:39:04,730 [main] INFO  marytts.DummyTokens2Words Power-on self test complete.
2016-11-06 02:39:04,730 [main] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale te).
2016-11-06 02:39:04,730 [main] INFO  marytts.JPhonemiser Starting power-on self test.
2016-11-06 02:39:04,730 [main] INFO  marytts.JPhonemiser Power-on self test complete.
2016-11-06 02:39:04,741 [main] INFO  marytts.Prosody Module started (PHONEMES->INTONATION, locale null).
2016-11-06 02:39:04,742 [main] INFO  marytts.Prosody Starting power-on self test.
2016-11-06 02:39:04,742 [main] INFO  marytts.Prosody Power-on self test complete.
2016-11-06 02:39:04,742 [main] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale te).
2016-11-06 02:39:04,750 [main] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2016-11-06 02:39:04,750 [main] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2016-11-06 02:39:04,750 [main] INFO  marytts.LuxembourgishPreprocess Module started (TOKENS->WORDS, locale lb).
2016-11-06 02:39:04,751 [main] INFO  marytts.LuxembourgishPreprocess Starting power-on self test.
